Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
5/6/2009,0.64,44.6,48.5,52.5
5/7/2009,0.36,45.6,55.9,66.2
5/8/2009,0.13,49,59.9,70.9
5/9/2009,0.08,53.6,64.8,76
5/10/2009,0.1,54.5,62.9,71.3
5/11/2009,0,41.1,53.7,66.4
5/12/2009,0,43.4,54.1,64.7
5/13/2009,0,38.7,52.2,65.8
5/14/2009,0,42.1,56.1,70
5/15/2009,0.13,51.4,57,62.6
5/16/2009,0,51.7,64.1,76.5
5/17/2009,0.12,55.8,64.5,73.2
5/18/2009,0.03,45.7,53.9,62
5/19/2009,0,38,46.1,54.3
5/20/2009,0,42.1,56.3,70.6
5/21/2009,0,52.5,67.5,82.4
5/22/2009,0,54.2,71.7,89.1
5/23/2009,0,56.6,72.1,87.7
5/24/2009,0.01,50.7,58.4,66.1
5/25/2009,0.32,54.7,67.3,79.9
5/26/2009,0,44,60.9,77.7
5/27/2009,0.16,45.4,53,60.7
5/28/2009,0.12,45.3,49.7,54
5/29/2009,0.04,47.6,50.3,52.9
5/30/2009,0.31,50,57.4,64.9
5/31/2009,0,45.1,61.3,77.5
6/1/2009,0.04,38.8,58.8,78.7
6/2/2009,0,48.3,59.2,70.2
6/3/2009,0,52,64.5,77.1
6/4/2009,0.06,53.8,62.4,70.9
6/5/2009,0.01,53.5,63.4,73.3
6/6/2009,0.05,52.7,59,65.2
6/7/2009,0,54,63.9,73.9
6/8/2009,0,55.1,68.2,81.3
6/9/2009,0,56.5,65.9,75.3
6/10/2009,0.1,52.2,56,59.8
6/11/2009,0,53.5,57.7,62
6/12/2009,0.8,54.4,58.6,62.9
6/13/2009,0.08,55.2,64.3,73.5
6/14/2009,0.44,55.3,66.6,77.8
6/15/2009,0.19,54.3,60.4,66.4
6/16/2009,0.04,52.8,59.2,65.5
6/17/2009,0,42.4,55.2,68.1
6/18/2009,0,46,59.9,73.8
6/19/2009,0.93,54.6,60.7,66.8
6/20/2009,0.1,59.4,66.3,73.3
6/21/2009,0,59.7,68.1,76.6
6/22/2009,0.52,59.5,62.1,64.7
6/23/2009,0.49,59.5,61.5,63.4
6/24/2009,0.09,57.2,61.8,66.5
6/25/2009,0.05,58,61.7,65.4
6/26/2009,0.07,61.6,68.7,75.9
6/27/2009,0.02,60.3,70.5,80.8
6/28/2009,0.12,59.3,70.5,81.7
6/29/2009,0.09,60,64,68
6/30/2009,0.14,60,68.4,76.8
7/1/2009,0.02,59,67.1,75.2
7/2/2009,0.95,57,61.3,65.6
7/3/2009,1.04,57.7,63.2,68.6
7/4/2009,0.12,59.1,68,76.9
7/5/2009,0,53.6,65.9,78.1
7/6/2009,0,52.4,65.7,79.1
7/7/2009,0,55.3,68.1,81
7/8/2009,0.65,57.6,62.8,68
7/9/2009,0.43,55.5,63.3,71.1
7/10/2009,0,47.4,57.9,68.5
7/11/2009,0,50.2,63.6,77
7/12/2009,0.61,56.3,66.7,77.1
7/13/2009,0,51.5,65.8,80.2
7/14/2009,0,50.1,63.6,77.1
7/15/2009,0,51.4,63.7,75.9
7/16/2009,0,57.2,68.5,79.7
7/17/2009,0,62.1,70,77.9
7/18/2009,0.21,66.9,76.5,86
7/19/2009,0,58.5,71.7,84.9
7/20/2009,0,56.6,68.6,80.5
7/21/2009,0.21,61.1,70.8,80.5
7/22/2009,0.57,61.1,63.9,66.6
7/23/2009,0,59.7,69.1,78.5
7/24/2009,2.73,60.4,68.3,76.3
7/25/2009,0.14,60.9,67,73.2
7/26/2009,0.03,65.4,74.5,83.5
7/27/2009,0.1,70,76.6,83.2
7/28/2009,0,64.9,75.1,85.3
7/29/2009,0,68.3,77.6,86.8
7/30/2009,0,71.9,77.1,82.3
7/31/2009,0.78,62,73.5,85.1
8/1/2009,0.65,62,70.7,79.4
8/2/2009,0,62.2,72.9,83.7
8/3/2009,0,63.5,70.4,77.2
8/4/2009,0,61.6,73,84.4
8/5/2009,0,66.2,75,83.8
8/6/2009,0,57.4,72.1,86.9
8/7/2009,0,53.7,65.6,77.4
8/8/2009,0,50.3,64.9,79.5
8/9/2009,0,51.2,63.2,75.3
8/10/2009,0.03,64.4,69.2,74
8/11/2009,0.05,68,78.1,88.1
8/12/2009,0.18,64.7,75.9,87.1
8/13/2009,0.08,61.6,66.7,71.7
8/14/2009,0.02,55.3,62.2,69
8/15/2009,0,58,70.9,83.7
8/16/2009,0,63,76,89
8/17/2009,0,67.4,78.7,89.9
8/18/2009,0,67.1,79,90.8
8/19/2009,0,69.9,81,92
8/20/2009,0,67,78.2,89.5
8/21/2009,0.16,71.6,78.7,85.8
8/22/2009,0,73.6,81.4,89.2
8/23/2009,0.59,70.1,78.1,86.1
8/24/2009,0.01,66.4,76.5,86.6
8/25/2009,0,62.6,73.5,84.3
8/26/2009,0,64.5,73.7,82.9
8/27/2009,0,53.6,69.6,85.6
8/28/2009,0,53.9,64.9,75.8
8/29/2009,0.77,54.8,64,73.3
8/30/2009,1.05,54,59.4,64.7
8/31/2009,0,53.6,64.9,76.2
9/1/2009,0,45.9,58.4,70.9
9/2/2009,0,45.6,59.2,72.8
9/3/2009,0,47.5,62.1,76.6
9/4/2009,0,48.8,63.1,77.4
9/5/2009,0,51.9,66,80.2
9/6/2009,0,52,66.7,81.3
9/7/2009,0,43.1,55.3,67.4
9/8/2009,0,46.8,58.9,71
9/9/2009,0,53,64.1,75.2
9/10/2009,0,45.1,58,71
9/11/2009,0,48.5,57.6,66.7
9/12/2009,0.83,55.2,59.6,64
9/13/2009,0.58,59.9,62.7,65.6
9/14/2009,0,51.1,65,78.8
9/15/2009,0,52.4,63.9,75.3
9/16/2009,0,52.3,64.5,76.7
9/17/2009,0,47.6,55.8,64.1
9/18/2009,0,43.2,52.2,61.2
9/19/2009,0,44.1,58.3,72.5
9/20/2009,0,35.7,51.2,66.8
9/21/2009,0,37.6,54.9,72.1
9/22/2009,0,43.5,59.5,75.5
9/23/2009,0,57.1,65.9,74.8
9/24/2009,0,65.9,72.4,78.9
9/25/2009,0,50.1,64.6,79.1
9/26/2009,0,36.6,50.9,65.2
9/27/2009,0.2,41.6,52.2,62.8
9/28/2009,0.22,53.4,59.5,65.7
9/29/2009,0.64,53.5,63.5,73.5
9/30/2009,0,48.5,58.5,68.5
10/1/2009,0,37.2,48.7,60.1
10/2/2009,0,36.3,46.4,56.5
10/3/2009,0.47,42.1,51.7,61.3
10/4/2009,0.89,51.4,57.9,64.4
10/5/2009,0,48.3,59,69.7
10/6/2009,0,44.3,54.8,65.3
10/7/2009,0.38,47.2,56.4,65.6
10/8/2009,0.38,49,58.9,68.8
10/9/2009,0,42,51.9,61.8
10/10/2009,0.26,47.4,54.6,61.9
10/11/2009,0,32.3,48.8,65.3
10/12/2009,0,29.7,45.8,61.9
10/13/2009,0.07,35.8,44.9,54
10/14/2009,0.17,28.7,41.8,54.8
10/15/2009,0,28.8,40,51.3
10/16/2009,0.34,33.2,38,42.8
10/17/2009,0.01,30.5,37.3,44
10/18/2009,0.03,34.3,41.6,49
10/19/2009,1.08,32.1,37.9,43.8
10/20/2009,0,28.4,41.3,54.2
10/21/2009,0,34.4,49.9,65.4
10/22/2009,0,43.1,55.6,68.2
10/23/2009,0,39.5,56.4,73.4
10/24/2009,0.12,39.3,43.9,48.6
10/25/2009,1.29,46,56.5,67
10/26/2009,0,33.3,48.7,64
10/27/2009,0,32,47,62
10/28/2009,0.2,35.8,43.7,51.5
10/29/2009,0.74,41.5,46.6,51.8
10/30/2009,0,38.6,44.5,50.3
10/31/2009,0,41.7,48.7,55.8
11/1/2009,0.09,45.7,59,72.4
11/2/2009,0,33.8,45.9,58
11/3/2009,0,33.7,42.7,51.7
11/4/2009,0,31.8,45,58.3
11/5/2009,0,34.2,42.6,51
11/6/2009,0,30.7,38.8,46.9
11/7/2009,0,24.2,36.5,48.8
11/8/2009,0,28.5,39.6,50.7
11/9/2009,0,31.3,49.4,67.6
11/10/2009,0,41.1,55.1,69.1
11/11/2009,0,44.2,54.1,63.9
11/12/2009,0,38.4,45.4,52.3
11/13/2009,0,40.5,45.7,50.8
11/14/2009,0.33,43.9,48.4,52.9
11/15/2009,2.13,49.3,52.9,56.6
11/16/2009,0,45.6,54,62.5
11/17/2009,0,31.8,45.6,59.3
11/18/2009,0,26.1,38.4,50.6
11/19/2009,0,27.4,38.6,49.7
11/20/2009,0.14,30.7,44.9,59.2
11/21/2009,0.5,37.6,52,66.5
11/22/2009,0,32.8,45,57.1
11/23/2009,0,32.3,41.4,50.5
11/24/2009,0.32,42.8,45.8,48.8
11/25/2009,0.02,43.7,45.8,48
11/26/2009,0.06,44.2,46.3,48.4
11/27/2009,0.28,42.1,47,51.9
11/28/2009,0.29,39.6,42.5,45.4
11/29/2009,0,34.2,43,51.7
11/30/2009,0,37,45.2,53.4
12/1/2009,0.2,28.2,41.7,55.2
12/2/2009,0,27,34.9,42.8
12/3/2009,1.21,28.6,45.7,62.8
12/4/2009,0.16,35.1,51.4,67.8
12/5/2009,0,35.8,44.4,53.1
12/6/2009,0.62,29.9,36.2,42.4
12/7/2009,0,20.5,27.7,34.9
12/8/2009,0,22,29.9,37.8
12/9/2009,0.29,25.2,33.1,41
12/10/2009,0.59,31.6,37.7,43.7
12/11/2009,0,21.1,31.7,42.3
12/12/2009,0,18.6,23,27.5
12/13/2009,0,15.7,23.7,31.8
12/14/2009,0.75,20.5,33,45.4
12/15/2009,0,32.4,38,43.6
12/16/2009,0,26.4,36.9,47.4
12/17/2009,0,15.2,24.1,33.1
12/18/2009,0,7.2,14.5,21.7
12/19/2009,0,8.8,18.2,27.6
12/20/2009,0.52,16.1,22.3,28.5
12/21/2009,0.24,16.9,20.3,23.8
12/22/2009,0,16.4,24.5,32.5
12/23/2009,0,6.7,18.7,30.7
12/24/2009,0,7,17.7,28.5
12/25/2009,0,15.4,27,38.6
12/26/2009,0.02,18,28,38.1
12/27/2009,0.49,32.5,41.6,50.6
12/28/2009,0.25,24.4,39.2,54.1
12/29/2009,0.05,22,32.5,43.1
12/30/2009,0,8,15.2,22.5
12/31/2009,0,9.4,18.9,28.3
1/1/2010,0.14,23.3,26.6,29.9
1/2/2010,0.08,25.1,29.6,34.2
1/3/2010,0.21,12.8,21,29.2
1/4/2010,0.05,13.3,20,26.7
1/5/2010,0,18.1,25.8,33.5
1/6/2010,0,18.3,24.4,30.5
1/7/2010,0,19,25.4,31.8
1/8/2010,0,18.1,28.6,39
1/9/2010,0,16.4,22,27.5
1/10/2010,0,2,14.5,27
1/11/2010,0,2.6,14.8,27.1
1/12/2010,0,6.8,20.5,34.2
1/13/2010,0,9.8,21.5,33.2
1/14/2010,0,11.1,19.8,28.6
1/15/2010,0,14.1,25,35.9
1/16/2010,0,25.2,35.2,45.2
1/17/2010,0,23.6,35.2,46.7
1/18/2010,1.46,26.1,33.3,40.6
1/19/2010,0.11,29,31.1,33.2
1/20/2010,0.22,29.8,32.4,35
1/21/2010,0,22.1,29.7,37.2
1/22/2010,0,17.4,29.3,41.2
1/23/2010,0,17.5,27.7,38
1/24/2010,0,16.6,26.9,37.1
1/25/2010,0,18.6,34.9,51.2
1/26/2010,1.53,36.4,46.4,56.4
1/27/2010,0,26.4,35.9,45.3
1/28/2010,0,21.5,31.5,41.5
1/29/2010,0.08,9.4,22.4,35.4
1/30/2010,0,2.8,10.7,18.6
1/31/2010,0,3.3,11.9,20.4
2/1/2010,0,11.3,19.9,28.4
2/2/2010,0,14.6,24.1,33.7
2/3/2010,0.05,16,23.5,30.9
2/4/2010,0,18.2,25.2,32.1
2/5/2010,0,13.8,23.5,33.2
2/6/2010,0,15.8,25.5,35.2
2/7/2010,0,10.9,16.4,21.9
2/8/2010,0,13.9,23.3,32.8
2/9/2010,0,18.3,25.8,33.2
2/10/2010,0,20,30,39.9
2/11/2010,0.29,26.7,30.6,34.5
2/12/2010,0,20.8,30,39.2
2/13/2010,0,17.5,28.2,38.9
2/14/2010,0,18.9,27.4,35.9
2/15/2010,0,25.1,32.1,39.1
2/16/2010,0.1,25.1,32.7,40.2
2/17/2010,0.43,22.9,28.2,33.4
2/18/2010,0,23.4,30,36.6
2/19/2010,0,29.5,37.4,45.3
2/20/2010,0,29.4,35.9,42.4
2/21/2010,0,25.7,37.4,49.2
2/22/2010,0,25.7,33.3,40.9
2/23/2010,0,26.6,36.5,46.3
2/24/2010,1.46,33,36.2,39.4
2/25/2010,1.36,36,40.3,44.5
2/26/2010,1.56,31.6,39.4,47.2
2/27/2010,0.19,30.4,34.3,38.1
2/28/2010,0.12,24,30.9,37.9
3/1/2010,0.19,28.5,32.9,37.3
3/2/2010,0,30.3,38.4,46.5
3/3/2010,0,30.5,39,47.6
3/4/2010,0.12,31.1,33.5,36
3/5/2010,0.1,28.6,33,37.3
3/6/2010,0,25.3,35.1,44.9
3/7/2010,0,27.6,42,56.5
3/8/2010,0,30.6,43.6,56.7
3/9/2010,0,27.8,43.6,59.3
3/10/2010,0,24.8,38.8,52.8
3/11/2010,0,28,41.4,54.8
3/12/2010,0.02,35.5,41.8,48.2
3/13/2010,0.01,36,42.6,49.1
3/14/2010,3.26,37.9,41.8,45.8
3/15/2010,1.54,37.1,41.9,46.8
3/16/2010,0.93,31.2,37.2,43.1
3/17/2010,0,29,41.7,54.3
3/18/2010,0,37,51,64.9
3/19/2010,0,38.7,52.5,66.3
3/20/2010,0,38.9,54.6,70.4
3/21/2010,0,40.4,56.4,72.5
3/22/2010,0,38.7,47.8,57
3/23/2010,1.44,34.7,41.1,47.6
3/24/2010,0.94,38.4,42,45.5
3/25/2010,0,32.7,43.3,53.9
3/26/2010,0.2,33.8,48.7,63.5
3/27/2010,0.14,21.8,31.5,41.3
3/28/2010,0,23.6,32.5,41.4
3/29/2010,0.4,29.6,39.2,48.8
3/30/2010,3.4,44.1,48.5,52.9
3/31/2010,1.8,41.3,47.3,53.3
4/1/2010,0,41.4,44.9,48.5
4/2/2010,0,38.4,50,61.6
4/3/2010,0,41.1,55.6,70.1
4/4/2010,0,44.9,59.3,73.8
4/5/2010,0,43,60,77.1
4/6/2010,0,44.7,58.3,71.9
4/7/2010,0,44.3,57.3,70.4
4/8/2010,0,49.2,69.1,89.1
4/9/2010,0,44,54.9,65.7
4/10/2010,1.01,38.1,46.8,55.6
4/11/2010,0,38.2,48.2,58.3
4/12/2010,0,36,53.4,70.8
4/13/2010,0,33.8,48,62.1
4/14/2010,0,32.5,45.7,58.8
4/15/2010,0,37.8,52,66.3
4/16/2010,0.06,36.3,50,63.6
4/17/2010,0.43,37.1,41.3,45.6
4/18/2010,0.06,36.5,40.3,44
4/19/2010,0.03,35.8,43.5,51.3
4/20/2010,0,39,49.1,59.2
4/21/2010,0,39.9,54.2,68.4
4/22/2010,0,43.3,57,70.7
4/23/2010,0.09,40.1,55.3,70.5
4/24/2010,0,38.3,50.6,62.9
4/25/2010,0,44.8,56.4,68.1
4/26/2010,0.03,45.9,52.4,58.9
4/27/2010,0.18,45.2,52.1,59
4/28/2010,0.1,31.7,40.7,49.8
4/29/2010,0.1,36.2,41.5,46.9
4/30/2010,0,34.9,48.3,61.7
5/1/2010,0,51.1,63.4,75.8
5/2/2010,0,54.5,67.9,81.3
5/3/2010,0.04,58.5,72.6,86.7
5/4/2010,0.03,50.3,66.5,82.7
5/5/2010,0.07,48.7,64.8,80.8
5/6/2010,0,53.7,66.3,79
5/7/2010,0,47.8,63.2,78.5
5/8/2010,0.26,49,61,73.1
5/9/2010,0.46,38.9,52.6,66.3
5/10/2010,0,36.3,45.3,54.3
5/11/2010,0,32.4,45.5,58.7
5/12/2010,0,40.2,49.5,58.7
5/13/2010,0,36.2,44,51.8
5/14/2010,0.07,45.9,56.6,67.3
5/15/2010,0.02,48.5,59.8,71.2
5/16/2010,0,45.4,58.4,71.5
5/17/2010,0,42.7,57.9,73.1
5/18/2010,0,45.3,60.5,75.8
5/19/2010,1.62,47.4,54.6,61.9
5/20/2010,0.1,49.9,53.9,57.8
5/21/2010,0,52.3,67.3,82.3
5/22/2010,0,49.3,61.7,74
5/23/2010,0,53.2,65,76.9
5/24/2010,0,54.8,65.4,76.1
5/25/2010,0,57.6,69.3,81
5/26/2010,0,61.6,75,88.4
5/27/2010,0.31,55.2,75.2,95.1
5/28/2010,0,50.4,62.8,75.2
5/29/2010,0,52.9,63.8,74.7
5/30/2010,0.02,58.1,67.8,77.5
5/31/2010,0,58,69.5,81
6/1/2010,0.48,59.3,68.6,78
6/2/2010,0.28,58.5,71,83.6
6/3/2010,0,59.9,70.6,81.4
6/4/2010,0.14,61,71.8,82.6
6/5/2010,0.05,62.5,73,83.4
6/6/2010,0.14,65.1,74.7,84.2
6/7/2010,0.09,52.9,67.7,82.5
6/8/2010,0,47.4,61.5,75.5
6/9/2010,0,44.6,57.7,70.9
6/10/2010,0.31,52,61.3,70.5
6/11/2010,0.19,53.3,58.3,63.2
6/12/2010,0,53.9,61.1,68.3
6/13/2010,0.61,58.4,63.3,68.2
6/14/2010,0,57.7,61.6,65.6
6/15/2010,0.07,52.2,64.2,76.2
6/16/2010,0,50.5,64.6,78.6
6/17/2010,0.06,57.8,66.9,76
6/18/2010,0,53.8,63.8,73.7
6/19/2010,0,57.4,72,86.7
6/20/2010,0,62.3,72.7,83
6/21/2010,0.29,61.4,74.7,88
6/22/2010,0,58.2,72.8,87.4
6/23/2010,0.12,64.2,73.7,83.1
6/24/2010,0,62.6,73.5,84.5
6/25/2010,0.01,59.9,75.4,90.9
6/26/2010,0,60.9,72.1,83.3
6/27/2010,0,61.9,73.2,84.4
6/28/2010,0.01,67,76.3,85.5
6/29/2010,0,68.8,80.3,91.9
6/30/2010,0,55.5,72.1,88.7
7/1/2010,0,49.5,63.3,77
7/2/2010,0,50.8,62.4,73.9
7/3/2010,0,51.8,65.9,80
7/4/2010,0,61.2,73.5,85.8
7/5/2010,0,63.5,77.8,92.1
7/6/2010,0,70.5,83,95.5
7/7/2010,0,70.5,85,99.4
7/8/2010,0,70.3,81.8,93.4
7/9/2010,0,69.8,78.8,87.8
7/10/2010,0.01,71,79.7,88.4
7/11/2010,0.34,64.4,75.5,86.6
7/12/2010,0.03,65.3,76.7,88
7/13/2010,0,70.5,79.4,88.3
7/14/2010,0.37,72.3,80.2,88.2
7/15/2010,0.21,65.3,72.6,79.9
7/16/2010,0,65.5,72.6,79.7
7/17/2010,0.13,67.8,78.7,89.6
7/18/2010,0,68.9,79.9,90.9
7/19/2010,0,62.5,76.5,90.5
7/20/2010,0.05,66.4,75.6,84.9
7/21/2010,0,64.2,73.9,83.7
7/22/2010,0,65.1,76.2,87.2
7/23/2010,0,59,71.7,84.5
7/24/2010,0.49,64.3,71.5,78.7
7/25/2010,1.07,70.3,79.4,88.6
7/26/2010,0,58.1,73.6,89
7/27/2010,0,57.5,70.7,84
7/28/2010,0,60.3,74.6,88.8
7/29/2010,0,71.3,79.5,87.6
7/30/2010,0.04,54.2,70.9,87.6
7/31/2010,0,53.3,67.2,81
8/1/2010,0,52.6,65.4,78.2
8/2/2010,0,55.9,67.8,79.7
8/3/2010,0,60.7,70.9,81
8/4/2010,0,68.7,76.3,83.8
8/5/2010,0,72.6,80.7,88.8
8/6/2010,0.55,66.7,77.3,87.8
8/7/2010,0,52.2,68.9,85.6
8/8/2010,0,55.3,67.1,79
8/9/2010,0,63.5,74.3,85
8/10/2010,0.21,69.1,80.1,91.1
8/11/2010,0,66.2,77,87.8
8/12/2010,0,59.9,71.5,83.1
8/13/2010,0,62.5,71.8,81.1
8/14/2010,0,48.9,64,79.1
8/15/2010,0,52.4,66.4,80.4
8/16/2010,0.12,60.8,69,77.3
8/17/2010,0.04,66.4,72.9,79.3
8/18/2010,0,59.5,74.2,88.9
8/19/2010,0,56.3,69.4,82.5
8/20/2010,0.01,60.1,74.1,88
8/21/2010,0,50.2,67.6,84.9
8/22/2010,0,59.1,69.5,79.9
8/23/2010,1.02,61.4,65.5,69.7
8/24/2010,0.81,60.1,61.9,63.7
8/25/2010,0.82,59.6,61.7,63.9
8/26/2010,0.75,59.6,63.5,67.3
8/27/2010,0,53.5,67.8,82.1
8/28/2010,0,49,63.1,77.2
8/29/2010,0,55.2,68,80.8
8/30/2010,0,59.4,75.4,91.5
8/31/2010,0,64.2,77.1,90
9/1/2010,0,62.6,78.1,93.5
9/2/2010,0,66.6,79.7,92.8
9/3/2010,0,67.8,80.5,93.1
9/4/2010,0.82,68.2,75.1,82
9/5/2010,0,54.6,67.7,80.8
9/6/2010,0,46.7,60.2,73.7
9/7/2010,0,52.9,64.6,76.3
9/8/2010,0.05,61.2,72.1,83
9/9/2010,0.04,53.2,68.1,83
9/10/2010,0,52.7,61.9,71
9/11/2010,0,49.3,58.9,68.5
9/12/2010,0,48.8,60.2,71.5
9/13/2010,0,51.5,57.8,64
9/14/2010,0.04,50.9,58.9,67
9/15/2010,0,43.6,59,74.3
9/16/2010,0,41.7,54.8,67.9
9/17/2010,0.52,51.9,60.8,69.7
9/18/2010,0.03,49,58.9,68.7
9/19/2010,0,48.4,57.4,66.5
9/20/2010,0,48.2,61.6,75.1
9/21/2010,0,40.1,55.2,70.4
9/22/2010,0,46.1,57.9,69.6
9/23/2010,0,57.1,70.5,83.9
9/24/2010,0,57.4,66.9,76.4
9/25/2010,0,61.6,71.7,81.7
9/26/2010,0,52.7,69.3,85.9
9/27/2010,0.23,55,62.5,70
9/28/2010,0.07,57.2,63.2,69.2
9/29/2010,1.09,65.2,71.2,77.2
9/30/2010,0.01,63.1,72.2,81.3
10/1/2010,0.04,66.1,72.3,78.6
10/2/2010,0.75,49.8,64.5,79.3
10/3/2010,0,41,53.7,66.3
10/4/2010,0.39,44.5,50.8,57.1
10/5/2010,0.34,49.5,53.8,58.2
10/6/2010,0.41,52.9,55.5,58.2
10/7/2010,1.2,46.9,53.4,59.8
10/8/2010,0,45,55.4,65.9
10/9/2010,0,39.5,55.6,71.7
10/10/2010,0,33.3,49.1,64.8
10/11/2010,0,35,50,64.9
10/12/2010,0,38.4,53.7,69.1
10/13/2010,0,33.3,48.8,64.4
10/14/2010,0,33.7,48.5,63.3
10/15/2010,1.74,38.8,49.6,60.4
10/16/2010,0.08,41.1,47.6,54.1
10/17/2010,0,35.8,46.5,57.1
10/18/2010,0,34.2,49.7,65.2
10/19/2010,0,32.6,46.3,60
10/20/2010,0,32.9,45.9,59
10/21/2010,0,32.8,47.1,61.4
10/22/2010,0.04,32.2,45.5,58.8
10/23/2010,0,31.4,40.2,49
10/24/2010,0,35.2,46.7,58.2
10/25/2010,0,40.5,46,51.5
10/26/2010,0.01,43.6,55.2,66.8
10/27/2010,0.03,62.3,69.1,75.8
10/28/2010,0.12,56.1,63.5,70.8
10/29/2010,0,37.1,56.8,76.6
10/30/2010,0,32.4,44.6,56.8
10/31/2010,0,37.9,47.1,56.3
11/1/2010,0,28.9,43.2,57.5
11/2/2010,0,31.6,40.6,49.7
11/3/2010,0,22.4,35.2,48.1
11/4/2010,0.01,25.4,38.1,50.8
11/5/2010,1.07,39.6,47.4,55.3
11/6/2010,0.22,38.7,49.3,59.8
11/7/2010,0,35.6,42.4,49.1
11/8/2010,0.67,33,38.3,43.5
11/9/2010,0.52,36.9,42.2,47.4
11/10/2010,0.15,42,47.3,52.6
11/11/2010,0,36.5,42.1,47.6
11/12/2010,0,29.6,39.6,49.5
11/13/2010,0,28.7,43,57.3
11/14/2010,0,29,46.2,63.5
11/15/2010,0,31.2,42.7,54.2
11/16/2010,0.02,44.7,49.4,54.1
11/17/2010,1.12,45.9,52.2,58.5
11/18/2010,0.03,42.5,53,63.4
11/19/2010,0,27.6,40.5,53.5
11/20/2010,0,25.2,34.8,44.5
11/21/2010,0,28.3,40.1,51.9
11/22/2010,0,27.8,34,40.1
11/23/2010,0,36.5,46.4,56.2
11/24/2010,0,39.6,51.1,62.6
11/25/2010,0,25.4,35.8,46.2
11/26/2010,0.07,28.6,34.7,40.8
11/27/2010,0.04,24.7,37,49.3
11/28/2010,0,23.3,33.1,42.9
11/29/2010,0,22.4,33.1,43.8
11/30/2010,0,23.6,35.3,46.9
12/1/2010,0,31.1,40.2,49.3
12/2/2010,0.84,32.8,44.7,56.6
12/3/2010,0,27.9,36.2,44.5
12/4/2010,0,29.7,34.7,39.7
12/5/2010,0,25.3,33.4,41.4
12/6/2010,0,22.9,28.8,34.8
12/7/2010,0,24.3,28.5,32.7
12/8/2010,0,23.9,29.2,34.6
12/9/2010,0,16.2,24.2,32.1
12/10/2010,0,6.9,17.2,27.4
12/11/2010,0,9.7,19.1,28.4
12/12/2010,0,20.4,32.7,45
12/13/2010,3.39,33.1,44.4,55.8
12/14/2010,0,22.9,36.8,50.6
12/15/2010,0,14.7,20.9,27.1
12/16/2010,0,14.7,18,21.4
12/17/2010,0,11.5,22.3,33.2
12/18/2010,0,14.2,24.6,35
12/19/2010,0,18.3,28.3,38.4
12/20/2010,0,18.5,27.1,35.8
12/21/2010,0.08,23.8,26.6,29.4
12/22/2010,0.02,25.8,32.4,39
12/23/2010,0.22,28.3,33.4,38.5
12/24/2010,0,24.9,31.3,37.7
12/25/2010,0,15.2,26.3,37.3
12/26/2010,0,15.7,24.1,32.5
12/27/2010,1.02,20.7,25.4,30.1
12/28/2010,0.03,14.8,22.6,30.4
12/29/2010,0,17.7,26,34.3
12/30/2010,0,11.8,24.6,37.4
12/31/2010,0,12.1,27.8,43.5
1/1/2011,0,24.5,37.9,51.4
1/2/2011,0,34.7,46,57.4
1/3/2011,0.15,26.3,37.3,48.3
1/4/2011,0,16.8,25.7,34.7
1/5/2011,0,16.8,27.6,38.4
1/6/2011,0,12.9,25.4,37.8
1/7/2011,0,12.8,22.4,31.9
1/8/2011,0.08,19.2,26.3,33.3
1/9/2011,0.07,24.2,28.4,32.6
1/10/2011,0,19.7,26.5,33.3
1/11/2011,0,13.5,23.4,33.2
1/12/2011,1.1,15.1,24,32.8
1/13/2011,0.54,21.7,26.6,31.4
1/14/2011,0,12.3,21.5,30.8
1/15/2011,0,-0.8,12.1,25.1
1/16/2011,0,0.7,16.4,32.2
1/17/2011,0,11.6,22.3,33.1
1/18/2011,0.12,5.7,13.7,21.8
1/19/2011,0.9,16.9,27.6,38.4
1/20/2011,0.16,23.6,31.5,39.4
1/21/2011,0.27,21,26.3,31.7
1/22/2011,0.23,7.9,18.8,29.6
1/23/2011,0,-3.9,11,25.8
1/24/2011,0,-7.2,8.1,23.4
1/25/2011,0.06,-5.3,4.3,13.8
1/26/2011,0.04,4.9,18,31.2
1/27/2011,1.01,10.5,20.7,30.8
1/28/2011,0,9,21.1,33.1
1/29/2011,0,10.8,22.3,33.8
1/30/2011,0,9.3,23.1,36.8
1/31/2011,0,3.9,20.1,36.3
2/1/2011,0.01,4.6,16.2,27.7
2/2/2011,0.93,13.6,19.3,24.9
2/3/2011,0.6,12.5,23.2,33.9
2/4/2011,0,0.8,13.5,26.2
2/5/2011,0,5.4,19.3,33.2
2/6/2011,0.31,16,30.2,44.4
2/7/2011,0,22.3,32.8,43.4
2/8/2011,0.25,24.2,33.8,43.4
2/9/2011,0.04,8.8,23.4,37.9
2/10/2011,0,10.7,21.5,32.2
2/11/2011,0,-0.4,13.4,27.1
2/12/2011,0,1.7,15.9,30
2/13/2011,0,10.5,24.7,39
2/14/2011,0,20,30.5,40.9
2/15/2011,0,21.9,37.9,53.9
2/16/2011,0,12.7,20.6,28.6
2/17/2011,0,15.3,28.1,40.9
2/18/2011,0,29,44.1,59.2
2/19/2011,0.06,33.8,47.3,60.9
2/20/2011,0,13.8,25.5,37.2
2/21/2011,0.05,14.6,25.2,35.7
2/22/2011,0.01,9.1,18.7,28.3
2/23/2011,0,9.7,23.3,37
2/24/2011,0,10.2,25.7,41.1
2/25/2011,0.21,14.3,28.3,42.3
