STATION,NAME,DATE,PRCP,TMAX,TMIN,Tmax_C,Tmin_C,delta
USC00198757,"WALPOLE 2, MA US",3/31/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/1/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/2/1973,1.71,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/3/1973,0.18,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/4/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/5/1973,0.8,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/6/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/7/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/8/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/9/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/10/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/11/1973,0.86,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/12/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/13/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/14/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/15/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/16/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/17/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/18/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/19/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/20/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/21/1973,0,,,-17.77777778,-17.77777778,0
